Название;Производитель;Категория;Розничная цена;Оптовая цена;Плотность (г/м2);Мартиндейл (циклы);Свойства;Тип ткани;Ссылка на товар
MÉTRO BEAUBOURG;Dedar;Премиум;10.0;;1126;10000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/metro-beaubourg/
MOLTO INCLINE;Dedar;Премиум;9.0;;994;9000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/molto-incline/
MUSIC;Dedar;Премиум;20.0;;551;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/music/
NUVOLARI;Dedar;Премиум;80.0;;938;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/nuvolari/
PÁVÍ PLES;Dedar;Премиум;9.0;;916;9000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/pavi-ples/
POUR PARLER;Dedar;Премиум;50.0;;994;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/pour-parler/
RHYME;Dedar;Премиум;35.0;;754;35000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/rhyme/
RODODENDRO;Dedar;Премиум;80.0;;783;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/rododendro/
THERE;Dedar;Премиум;18.0;;711;18000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/there/
TUTTO TONDO;Dedar;Премиум;25.0;;1102;25000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tutto-tondo/
VERRAY PARFIT GENTIL KNYGHT;Dedar;Премиум;30.0;;682;30000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/verray-parfit-gentil-knyght/
VÉZAC;Dedar;Премиум;50.0;;965;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/vezac/
DAYS LIKE NOW WALL;Dedar;Премиум;0.0;;206;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/days-like-now/
LETNÍ LETNÁ WALL;Dedar;Премиум;0.0;;343;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/letni-letna/
LYN WALL;Dedar;Премиум;0.0;;272;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lyn/
NISH WALL;Dedar;Премиум;0.0;;251;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/nish/
PICOLIT WALL;Dedar;Премиум;0.0;;195;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/picolit/
TAL WALL;Dedar;Премиум;0.0;;494;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/tal-wall/
À CONTRE-JOUR* col. 1*, 2*, 3*;Dedar;Премиум;185.0;;724;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/deja-vu-jamais/
A FOREST 71, 89 col. 1;Dedar;Премиум;185.0;;639;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/adamo-eva/
A JOY All;Dedar;Премиум;166.0;;639;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/adamo-eva/
A LOVE SUPREME 95 All Coord: Aplomb;Dedar;Премиум;182.5;;639;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/adamo-eva/
A PERFECT FLOWER All;Dedar;Премиум;107.5;;639;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/adamo-eva/
A SOFT PLACE 92 col. 1, 2, 3*, 4;Dedar;Премиум;223.0;;639;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/adamo-eva/
A TIGER IN THE ORANGERIE 92 col. 1;Dedar;Премиум;130.0;;639;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/adamo-eva/
ABACUS col. 1, 3-6;Dedar;Премиум;129.0;;700;32000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/abacus/
ABOUT FLOWERS col. 1, 2*;Dedar;Премиум;152.5;;570;4000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/about-flowers/
ACACIA 8 col. 1, 2, 3*, 4, 6, 7*, 8, 9, 10*, 11, 12*, 13- 15, 16*, 18*, 19*, 20, 21, 22*;Dedar;Премиум;74.0;;1049;43000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/acacia/
ACQUERELLO All;Dedar;Премиум;60.5;;271;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/acquerello/
ACQUERELLO AJOUR col. 1;Dedar;Премиум;64.5;;271;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/acquerello/
ACQUERELLO CHEVRON 69, 70, 71 All;Dedar;Премиум;66.0;;271;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/acquerello/
ADAMO & EVA 92 col. 102, 103, 104, 106- 109, 111, 113-122, 125, 126, 128-145, 149, 150, 154, 155, 157, 159, 161, 162, 164, 165, 167-178, 179-185, 186*, 187, 188*, 189-191, 192*, 193-199 Coord: Aplomb, Mademoiselle;Dedar;Премиум;81.0;;639;50000;💧, Высокая износостойкость, Легкая чистка, Премиальное качество;Велюр / Микровелюр;https://dedar.com/adamo-eva/
ADORABILE ALPACA All Coord: Mademoiselle;Dedar;Премиум;156.0;;548;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/adorabile-alpaca/
ADORAI col. 1;Dedar;Премиум;136.0;;616;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/adorai/
AEOLIAN col. 1, 2, 3;Dedar;Премиум;62.5;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/aeolian/
AGATA col. 1;Dedar;Премиум;97.5;;240;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/agata/
AKHLAT col. 1;Dedar;Премиум;185.0;;1156;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/akhlat/
AKUREYRI 71 All;Dedar;Премиум;142.5;;979;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/akureyri/
ALABASTRO col. 2, 4;Dedar;Премиум;216.0;;314;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/alabastro/
ALAIN* col. 1* Coord: Cécile;Dedar;Премиум;102.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
ALASKA 21 All;Dedar;Премиум;156.0;;360;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/alaska/
ALAYA All;Dedar;Премиум;139.5;;415;6000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/alaya/
ALBORE col. 1;Dedar;Премиум;86.0;;317;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/albore/
ALCYONE All;Dedar;Премиум;140.0;;1220;79000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/alcyone/
ALEXANDER 92 All Coord: Aplomb, Aplomb Melange, Mademoiselle;Dedar;Премиум;161.0;;503;30000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/alexander/
ALEXANDER MELANGE 92 col. 1-5, 7-10;Dedar;Премиум;166.0;;503;30000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/alexander/
ALOUETTE All;Dedar;Премиум;89.5;;897;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/alouette/
ALPACA ALTO 92 All;Dedar;Премиум;162.5;;887;35000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/alpaca-alto/
ALPAKHAN 92 All;Dedar;Премиум;177.5;;699;10000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/alpakhan/
ALUMNUS 21 col. 1-6, 8*, 9*, 10, 11*, 12, 13 Coord: Microgramma;Dedar;Премиум;148.0;;532;5000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/alumnus/
AMARAL 24 col. 1*, 2*, 3*, 4-6, 7*, 8*, 10, 11*, 12- 14, 15*, 16, 17*, 18, 20, 21 Coord: Campus, Young And Lovely;Dedar;Премиум;74.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/amaral/
AMARETTO All;Dedar;Премиум;97.5;;677;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/amaretto/
AMICITIA All;Dedar;Премиум;105.0;;1700;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/amicitia/
AMOIR FOU 23 All;Dedar;Премиум;98.0;;550;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/amoir-libre-wall/
AMOIR LIBRE 23, 27 col. 1, 3, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 28-50 Coord: Amoir Libre Wall;Dedar;Премиум;102.0;;550;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/amoir-libre-wall/
AMULETO 92 All;Dedar;Премиум;129.0;;848;30000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/amuleto/
ANCIENT WRITING 1936 col. 1 col. 2;Dedar;Премиум;210.0;;534;40000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/ancient-writing-1936/
ANDATURA 24 All;Dedar;Премиум;97.5;;613;62000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/andatura/
ANDIRIVIENI col. 1, 3, 5, 6 Double-face;Dedar;Премиум;115.0;;405;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/andirivieni/
ANNA col. 102, 103, 104, 106, 107 Coord: Annalena;Dedar;Премиум;67.5;;166;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/anna/
ANNALENA All Coord: Anna;Dedar;Премиум;95.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/annalena/
ANTILOPE All;Dedar;Премиум;97.5;;425;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/antilope/
AOXOMOXOA col. 1-7, 9 col. 8 Coord: Damaris, Canasta;Dedar;Премиум;99.0;;977;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/aoxomoxoa/
APLOMB 15 col. 2-9, 11-16, 18, 29, 31-47 Coord: Adamo & Eva, Dante, Romeo & Giulietta, Monsieur Baudelaire;Dedar;Премиум;116.0;;540;30000;nan, Высокая износостойкость, Легкая чистка, Премиальное качество;Велюр / Микровелюр;https://dedar.com/aplomb/
APLOMB MELANGE col. 2-5 Coord: Alexander;Dedar;Премиум;139.0;;540;30000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/aplomb/
ARAARI 50 All Coord: Ariel, Aramis;Dedar;Премиум;105.0;;520;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/araari/
ARAMILLO All;Dedar;Премиум;79.0;;980;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/aramillo/
ARAMIS 50 col. 1-3, 4*, 6, 7 Coord: Araari;Dedar;Премиум;110.0;;532;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/aramis/
ARBUS col. 1, 13*, 14*, 16*, 17*, 19*, 20, 21*;Dedar;Премиум;104.0;;910;40000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/arbus/
ARC-EN-CIEL 71, 89 All;Dedar;Премиум;115.0;;304;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/arc-en-ciel/
ARENA All Coord: Landscape Double-face;Dedar;Премиум;122.5;;710;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/arena/
ARGENTO VIVO All;Dedar;Премиум;117.5;;428;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/argento-vivo/
ARIEL 50 All Coord: Araari;Dedar;Премиум;104.0;;333;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/ariel/
ARISTOTELE All;Dedar;Премиум;104.0;;977;25000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/aristotele/
ARMAND AUGUSTIN 64 All;Dedar;Премиум;149.0;;334;18000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/armand-augustin/
ARTEMIDOR 8 col. 1;Dedar;Премиум;226.0;;859;36000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/artemidor/
ARTEMIS 8 col. 12, 13, 14;Dedar;Премиум;96.0;;545;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/artemis/
ATELIER MODERNE col. 1*, 2-13;Dedar;Премиум;106.0;;870;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/atelier-moderne/
ATHERINI All;Dedar;Премиум;91.0;;1022;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/atherini/
ATHINA All;Dedar;Премиум;135.0;;380;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/athina/
ATLANTICO col. 1;Dedar;Премиум;160.0;;878;30000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/atlantico/
ATLAS All;Dedar;Премиум;138.0;;1166;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/atlas-novus/
AURALEA 24 col. 1 Coord: Sibelius;Dedar;Премиум;129.0;;1207;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/auralea/
AURIGA col. 1, 2;Dedar;Премиум;127.5;;690;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/auriga/
AUT AUT col. 2*, 8*, 9;Dedar;Премиум;110.5;;487;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/autrebois/
AUTREBOIS 71 col. 1, 2;Dedar;Премиум;142.5;;487;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/autrebois/
AVION 8 col. 3;Dedar;Премиум;174.5;;1008;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/avion-atlantique/
AVION ATLANTIQUE 8 All;Dedar;Премиум;187.5;;1008;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/avion-atlantique/
AZAFRANE 71, 85 All;Dedar;Премиум;94.5;;379;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/azafrane/
BABELIA col. 1-3, 4*;Dedar;Премиум;180.5;;532;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/babelia/
BACARÀ 92 All;Dedar;Премиум;122.5;;903;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/bacara/
BASQUETTE 24 col. 1-5, 6*, 7*, 8*, 9-11 Coord: Cabas, Etoile, Pool, Summertime;Dedar;Премиум;95.0;;850;35000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/basquette/
BATEAU col. 1, 2;Dedar;Премиум;106.5;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/bateau/
BE BOP A LULA All;Dedar;Премиум;139.5;;810;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/belsuede/
BELSUEDE 58, 60, 61 col. 1-19, 22, 23, 25, 27, 29-41;Dedar;Премиум;99.0;;810;20000;nan, Легкая чистка, Премиальное качество;Велюр / Микровелюр;https://dedar.com/belsuede/
BEOWULF All Coord: Sinequanon;Dedar;Премиум;141.0;;653;15000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/beowulf/
BESEELT 71 All;Dedar;Премиум;142.5;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/beseelt/
BETULLA All;Dedar;Премиум;189.0;;1058;25000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/betulla/
BLAZER 21, 39 col. 1*, 2*, 3, 7, 9-14, 18, 19, 23*, 26- 28, 29*, 31, 32;Dedar;Премиум;95.0;;450;15000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/blazer/
BOGARDINE col. 1, 2, 3, 4, 9;Dedar;Премиум;101.0;;960;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/bogardine/
BOLINA col. 1*, 2;Dedar;Премиум;69.0;;435;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/bolina/
BONBORI* col. 1*;Dedar;Премиум;130.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
BOURATINO 89, 90 col. 9, 11, 12*, 13, 14, 15*, 20, 21, 25, 26*;Dedar;Премиум;126.0;;450;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/bouratino/
BRIGHTFALL 13 col. 1 Coord: Tightfall, Lightfall;Dedar;Премиум;68.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/brightfall/
BUCANEVE 8, 24 All;Dedar;Премиум;116.0;;980;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/bucaneve/
BUONFRESCO col. 1*, 2*, 4*, 5*, 6, 7*, 9*, 12* Coord: Magnolia, Tiger Snow, Lira;Dedar;Премиум;140.0;;549;26000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/buonfresco/
BUTTERFLY REVIVAL col. 1 col. 2;Dedar;Премиум;207.5;;480;8000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/butterfly-revival/
CABAS 24 All Coord: Basquette, Etoile, Pool, Summertime;Dedar;Премиум;95.0;;810;35000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/cabas/
CALICANTO col. 1;Dedar;Премиум;187.5;;206;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/calicanto-lieve/
CALICANTO LIEVE col. 1;Dedar;Премиум;175.0;;206;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/calicanto-lieve/
CAMPUS 24 All Coord: Young And Lovely, Amaral;Dedar;Премиум;95.0;;795;36000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/campus/
CANASTA All Coord: Aoxomoxoa, Damaris;Dedar;Премиум;132.5;;1244;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/canasta/
CANDICE col. 2;Dedar;Премиум;86.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/candice/
CANDY COTTON 8, 61 All;Dedar;Премиум;99.0;;963;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/candy-cotton/
CAOLINO 8 col. 1;Dedar;Премиум;146.0;;1360;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/caolino/
CAPANNO col. 1;Dedar;Премиум;87.5;;692;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/capanno/
CAPUCINE 61 col. 1;Dedar;Премиум;119.0;;925;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/capucine/
CASSE-TÊTE All;Dedar;Премиум;117.5;;450;12000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/casse-tete/
CATINELLE 8 All;Dedar;Премиум;175.0;;1680;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/catinelle/
CC-CD1 8 col. 1;Dedar;Премиум;190.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
CÉCILE col. 1 Coord: Alain;Dedar;Премиум;100.0;;502;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/cecile/
CESTRUM All;Dedar;Премиум;135.0;;1168;80000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/cestrum/
CHAMBRAY col. 1, 6, 10, 12*, 21, 23-30, 33, 35, 39;Dedar;Премиум;82.0;;630;45000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/chambray/
CHAMPAGNE col. 1 Double-face;Dedar;Премиум;102.0;;148;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/champagne/
CHAPEAU col. 1-4, 6, 7*, 9-11, 13-17 Double-face;Dedar;Премиум;130.0;;567;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/chapeau/
CHATWIN 71 col. 1;Dedar;Премиум;109.0;;301;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/chatwin/
CHENILLIER 61 All;Dedar;Премиум;92.5;;926;25000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/chenillier/
CHÉRIE col. 1-3, 5;Dedar;Премиум;144.0;;1300;6000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/cherie/
CHINTZ NATURE All;Dedar;Премиум;85.0;;500;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/chintz-nature-wall/
CIELO col. 1*, 3-6, 9*, 10, 11*, 12, 15*;Dedar;Премиум;79.0;;200;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/cielo/
CLINK 8 All;Dedar;Премиум;187.5;;1201;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/clink/
CNOSSIAN 85 col. 1, 2, 3;Dedar;Премиум;120.0;;600;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/cnossian/
COBRA* col. 2*, 4*;Dedar;Премиум;76.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
COCO col. 5, 6, 7;Dedar;Премиум;107.5;;820;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/coco/
CORDIER All;Dedar;Премиум;104.0;;560;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/cordier/
CORIANDOLI All;Dedar;Премиум;122.5;;690;23000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/coriandoli/
COSMIC CONFETTI 49 All;Dedar;Премиум;145.0;;293;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/cosmic-confetti/
CRÈME CHANTILLY 61 col. 1;Dedar;Премиум;74.0;;740;74000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/creme-chantilly/
CRISTALLO* 70 col. 4*, 6*;Dedar;Премиум;75.5;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
CROCODILE 48 All;Dedar;Премиум;142.5;;775;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/crocodile/
CURIOSITY All;Dedar;Премиум;110.0;;796;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/curiosity/
DALIE PAPAVERI TULIPANI All;Dedar;Премиум;225.0;;388;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/dalie-papaveri-tulipani/
DAMARIS All Coord: Aoxomoxoa, Canasta;Dedar;Премиум;110.0;;701;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/damaris/
DANCING THE HORIZON 86 col. 1 Coord: Cielo;Dedar;Премиум;149.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/dancing-the-horizon/
DANS LES NUAGES 61 col. 1, 2, 3;Dedar;Премиум;106.0;;1132;76000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/du-jazz-dans-le-ravin/
DANTE* col. 1*, 2*, 3*, 5*, 6*, 8*- 11*, 13*-17*, 19*, 20*, 23* Coord: Aplomb;Dedar;Премиум;106.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
DAYS LIKE NOW 89, 90 All;Dedar;Премиум;117.5;;206;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/days-like-now/
DÉCALAGE 24 col. 1;Dedar;Премиум;148.5;;1310;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/decalage/
DECO' col. 1;Dedar;Премиум;141.0;;1051;35000;nan, Премиальное качество;Экокожа;https://dedar.com/deco/
DÉJÀ VU JAMAIS 92 All;Dedar;Премиум;125.0;;724;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/deja-vu-jamais/
DELICIA All;Dedar;Премиум;91.0;;1390;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/delicia/
DIAPASON 8 All;Dedar;Премиум;95.0;;1007;80000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/diapason/
DIDGERIDOO 64 All;Dedar;Премиум;109.5;;741;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/didgeridoo-wall/
DILMUN All;Dedar;Премиум;124.0;;965;20000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/dilmun/
DIMODONG 83 All Coord: Dimodong Wall, Gabor;Dedar;Премиум;130.0;;367;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/dimodong/
DOPPIOPANAMA col. 1, 4;Dedar;Премиум;120.0;;1136;35000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/doppiopanama/
DRAPPO col. 104, 105, 122;Dedar;Премиум;126.0;;432;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/drappo-wall/
DRAWING XVI (B) 1974 92 All;Dedar;Премиум;195.0;;1190;45000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/drawing-xvi-b-1974/
DRUSILLA THREE All Coord: Drusilla Wall;Dedar;Премиум;103.5;;462;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/drusilla-wall/
DU JAZZ DANS LE RAVIN All;Dedar;Премиум;122.5;;1132;76000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/du-jazz-dans-le-ravin/
DUINO All;Dedar;Премиум;122.5;;908;26000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/duino/
ELECTRIC DREAMS All;Dedar;Премиум;203.5;;418;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/electric-dreams/
ELIOGABALO col. 1 Coord: Samsigeramus;Dedar;Премиум;230.0;;430;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/eliogabalo/
ELZEVIRO All;Dedar;Премиум;77.5;;679;18000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/elzeviro/
EN ROUTE col. 1;Dedar;Премиум;230.0;;519;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/zen/
ENEIDE All;Dedar;Премиум;96.0;;1313;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/eneide/
ENGRAM col. 1, 3-5;Dedar;Премиум;129.0;;723;21000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/engram/
ERBALUCE All;Dedar;Премиум;173.5;;1031;44000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/erbaluce/
ESPERANTO col. 1 Double-face;Dedar;Премиум;135.0;;982;45000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/esperanto/
ESPRIT RUDE, ESPRIT DOUX 71, 87 col. 1, 2;Dedar;Премиум;142.5;;798;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/esprit-rude-esprit-doux/
ETOILE 24 col. 2, 3, 4, 5, 8 Coord: Basquette, Cabas, Pool, Summertime;Dedar;Премиум;96.0;;770;35000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/etoile/
ETRUSCO 68 col. 1, 2;Dedar;Премиум;59.0;;314;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/etrusco/
EZRA* col. 1*;Dedar;Премиум;180.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;
FANDANGO All;Dedar;Премиум;163.5;;377;10000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/fandango/
FANFARA 89, 90 col. 101-111, 113-117, 125, 126, 133-145, 147, 149, 150, 151, 153-158;Dedar;Премиум;94.5;;185;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/fanfara/
